subject;age;gender;edu;hand;lens;cap;speed;mem;DDEdl;DDFdl;RPm;TG;S1Mean;S2Mean;S3Mean;S4Mean;S1_logm;S2_logm;S3_logm;S4_logm;SI
271;24;1;Bachelor;1;yes;-0.73;-0.46;-0.97;17.775;14.8;39.6;0.351351351;17.90879594;25.0615827;30.59051023;42.4123865;1.253066388;1.399008494;1.485586721;1.62749271;0.374426322
272;22;1;Anderes;1;no;-0.5;-0.54;0.33;22.4;10.7;64.4;0.272727273;11.40535403;11.97954813;28.07047378;40.23750717;1.05710877;1.078440437;1.448249743;1.604631067;0.547522297
273;21;2;Berufsmatura;1;no;-0.62;-0.54;0.02;29.8;8.825;40;0.36;19.36916588;20.74288107;23.79550052;29.19286335;1.287110918;1.316869077;1.376494844;1.465276694;0.178165776
274;23;2;Berufslehre;1;no;-0.49;0.49;-0.22;21;11.1;109;0.3125;14.73092026;18.31119823;22.77424372;22.64217649;1.168229878;1.262716764;1.357443964;1.354918171;0.186688293
275;20;1;Matura;1;yes;-1.25;-0.14;-0.01;19.3;16;102.6;0.111111111;9.223168576;7.872190531;8.200417434;9.18289451;0.964880147;0.896095597;0.91383596;0.962979595;-0.001900551
277;23;1;Berufslehre;1;no;-0.91;-0.84;-0.61;26.6;9.925;126.3;0.217391304;22.13447582;22.49022165;52.56074072;58.89361899;1.345069242;1.351993736;1.720661477;1.770068242;0.424999001
278;21;2;Berufslehre;1;no;-1.12;-0.41;-0.28;20.6;6.1;88.8;0.179487179;22.16044898;23.1937005;26.54897965;33.73653598;1.345578555;1.365370045;1.424047835;1.528100488;0.182521933
279;19;1;Matura;1;yes;1.24;0.62;1.64;24.8;21.9;67.2;0.222222222;15.49819074;24.65086278;22.49661085;28.37169549;1.190281002;1.391832124;1.352117096;1.45288529;0.262604288
280;20;2;Bachelor;2;no;-1.06;-0.51;-0.75;17.2;11.4;55.6;0.208333333;19.90540648;26.50818984;55.67738409;62.58444698;1.298971051;1.423380072;1.745678822;1.796466419;0.497495369
282;22;2;Berufslehre;1;no;-1.04;-0.99;-0.52;13;12.2;58.8;0.032258065;19.76875852;25.45594634;42.62849958;48.86364095;1.295979396;1.405789247;1.629700047;1.688985824;0.393006428
283;22;2;Berufsmatura;1;yes;-0.38;0.82;0.05;8.25;7.75;115.3;1;21.01552058;31.84926597;83.18291635;84.47161006;1.322540152;1.503099428;1.920034142;1.926710772;0.60417062
284;24;2;Bachelor;1;yes;0.54;0.67;-0.25;35.8;13.8;42.4;0.157894737;27.16115261;33.83734785;35.81279484;77.56280043;1.433948196;1.529396316;1.554038215;1.889653481;0.455705285
285;21;1;Anderes;1;no;0.15;0.35;-0.57;12;7.325;41.2;0.217391304;27.98302933;24.63286301;40.87034203;45.9941984;1.446894728;1.391514892;1.611408272;1.662703054;0.215808327
286;22;2;Anderes;1;no;-1.45;-0.33;-0.77;28.3;7.125;64.4;0.25;21.31873531;25.61870423;40.01044082;57.58283226;1.328761437;1.40855716;1.602173336;1.760293022;0.431531585
288;18;1;Matura;2;no;1.04;0.93;-0.72;14.9;5.1;40.8;0.333333333;18.69618458;15.39708159;11.70629852;28.39153746;1.271752987;1.187438411;1.068419595;1.453188911;0.181435924
289;20;1;Berufsmatura;1;no;0.89;-0.6;0.09;16.8;7.35;62.8;0.371428571;8.7277766;9.013924667;19.13719537;25.35266947;0.940903621;0.954913924;1.28187829;1.404023694;0.463120073
291;21;2;Berufsmatura;1;no;0.49;0.02;-0.11;30.1;8.45;42;0.44;27.88312262;33.17618703;32.1851117;37.24646408;1.445341409;1.520826471;1.507655021;1.57108505;0.125743641
292;22;2;Berufslehre;1;yes;-0.78;-1.18;0.69;17.6;7.925;105.3;0.4;12.75280414;13.59615604;15.29114252;19.09967488;1.10560569;1.13341614;1.184439936;1.281025975;0.175420285
293;19;2;Berufslehre;1;no;-0.61;-0.44;-0.12;18.5;9.3;51.6;0.272727273;17.66956606;21.66367724;29.41616624;40.52729036;1.247225884;1.335732177;1.468586071;1.607747568;0.360521684
295;19;2;Berufslehre;1;no;-0.69;-1.19;-0.85;24.2;9.9;96.7;0.257142857;17.62647512;32.36411192;45.51355792;45.05337645;1.246165472;1.510063694;1.658140787;1.653727344;0.407561872
