SEX,AGE,CATTEL,PATTER_COMPL,PAP_FOLD,NUMB_SERIES,MENTAL_COUNTERS,N_BACK,SSPAN,CSSPAN,CHANGE_DET_COL,CHANGE_DET__FIG,CHANGE_DET__LET, CHANGE_DETECTION_MEAN ,CRT_ARR,CRT_LET,CRT_DIG,ICO_FIG,ICO_LET,ICO_COL,FD_SIZ,FD_ORIENT,FD_BRI,FM_SIZ,FM_ORIENT,FM_BRI,NUMER16/36,NUMERS28/60,NUMERS8/20,IT_CIR,IT_LIN,IT_SQU,TOJ_DIS,TOJ_APP,DD_EMPTY,DD_FILLED,ICO_FIG_TRAIN,ICO_LET_TRAIN,ICO_COL_TRAIN,FD_SIZ_TRAIN,FD_ROT_TRAIN,FD_BRI_TRAIN,FR_SIZ_TRAIN,FR_ROT_TRAIN,FR_BRI_TRAIN,NUMER/36_TRAIN,NUMER/60_TRAIN,NUMER/20_TRAIN,TOJ_DIS_TRAIN,TOJ_APP_TRAIN,DD_EMPTY_TRAIN,DD_FILLED_TRAIN,IT_CIR_TRAIN,IT_LIN_TRAIN,IT_SQU_TRAIN
F,39.00,20.00,7.00,2.00,11.00,0.10,0.39,0.41,0.52,2.10,0.90,2.20,1.73,-655,-779,-639,3.63,4.29,5.00,-2.13,-4.63,-6.00,-14.85,-16.10,-45.28,0.83,0.83,0.85,-106.75,-101.50,-78.75,-28.00,-109.38,-120.75,-134.75,0.72,0.78,0.67,0.88,0.92,0.88,0.96,0.88,0.42,0.79,0.71,0.96,1.00,0.92,1.00,0.75,0.79,0.83,0.83
M,39.00,26.00,6.00,7.00,4.00,-0.03,0.26,0.37,0.69,3.30,0.70,2.25,2.08,-671,-624,-600,6.13,9.43,6.90,-1.88,-1.75,-3.25,-20.28,-9.68,-24.69,0.82,0.74,0.86,-86.63,-112.00,-78.75,-49.00,-76.13,-148.75,-145.25,0.78,0.83,1.00,0.96,0.96,0.96,0.92,0.75,0.50,0.75,0.63,0.71,0.79,0.63,0.88,0.67,0.79,0.79,0.88
F,21.00,22.00,9.00,6.00,8.00,0.22,0.27,0.37,0.43,3.05,1.65,0.70,1.80,-550,-734,-539,7.29,6.50,8.90,-1.63,-2.88,-4.25,-15.88,-11.44,-25.79,0.51,0.58,0.70,-68.25,-71.75,-63.88,-64.75,-110.25,-180.25,-126.00,0.83,0.44,0.72,1.00,1.00,0.92,0.92,0.92,0.75,0.63,0.50,0.71,1.00,0.75,0.75,0.63,0.96,0.88,0.96
M,20.00,31.00,14.00,13.00,16.00,0.49,0.99,0.89,0.83,5.45,3.95,5.80,5.07,-436,-389,-404,4.38,6.88,6.30,-2.50,-2.38,-1.75,-13.90,-9.64,-23.33,0.76,0.71,0.76,-49.88,-63.88,-55.13,-18.38,-26.25,-112.00,-89.25,0.94,0.89,0.94,0.92,0.92,0.92,0.83,0.92,0.75,0.54,0.75,0.83,1.00,1.00,0.96,0.92,1.00,1.00,1.00
M,23.00,30.00,7.00,11.00,7.00,0.31,0.63,0.71,0.51,2.45,0.70,3.30,2.15,-529,-539,-504,4.88,5.29,7.80,-1.75,-2.25,-2.00,-13.32,-10.95,-34.84,0.79,0.80,0.86,-49.00,-60.38,-44.63,-30.63,-52.50,-129.50,-211.75,0.72,0.56,0.94,1.00,1.00,1.00,0.96,0.92,0.71,0.71,0.83,0.88,0.92,0.83,0.96,0.71,0.96,1.00,1.00
F,19.00,34.00,12.00,11.00,11.00,0.52,0.87,0.68,0.77,4.50,4.25,2.50,3.75,-389,-451,-421,8.88,4.38,5.40,-1.13,-1.88,-1.71,-14.68,-13.26,-22.98,0.89,0.74,0.79,-49.88,-63.88,-55.13,-18.38,-35.88,-182.00,-117.25,0.94,0.61,0.78,1.00,0.92,1.00,0.92,1.00,0.79,0.88,1.00,0.96,1.00,1.00,0.92,0.13,1.00,1.00,1.00
M,23.00,32.00,9.00,7.00,14.00,0.19,0.83,0.84,0.66,3.15,3.10,3.30,3.18,-499,-468,-437,7.13,4.75,6.30,-1.38,-4.13,-2.38,-14.38,-13.60,-22.17,0.86,0.76,0.69,-70.00,-57.75,-59.50,-35.00,-58.63,-211.75,-164.00,0.83,0.83,0.89,0.83,0.79,1.00,0.92,0.71,0.67,0.75,0.67,0.88,0.96,0.92,0.79,0.17,1.00,1.00,1.00
F,22.00,29.00,6.00,10.00,10.00,0.14,0.34,0.27,0.53,1.30,0.55,0.60,0.82,-554,-624,-623,7.13,4.86,8.40,-2.13,-8.38,-2.75,-12.71,-15.34,-24.90,0.71,0.58,0.82,-75.00,-83.13,-57.75,-36.75,-93.63,-134.75,-112.00,0.94,0.94,1.00,1.00,0.96,1.00,0.96,0.75,0.58,0.83,0.75,0.83,1.00,0.75,0.92,0.67,1.00,0.75,1.00
M,20.00,38.00,11.00,12.00,14.00,0.30,0.46,0.58,0.64,1.40,2.90,1.20,1.83,-575,-709,-580,10.75,3.63,5.90,-2.00,-5.63,-1.63,-18.26,-11.50,-26.97,0.78,0.65,0.76,-87.50,-83.13,-59.50,-19.25,-75.25,-224.00,-169.75,0.94,0.72,0.83,1.00,0.88,0.96,0.92,0.88,0.63,0.83,0.83,0.92,1.00,0.96,0.54,0.21,0.83,0.88,1.00
M,23.00,30.00,9.00,13.00,13.00,0.11,0.32,0.52,0.93,2.40,1.10,1.95,1.82,-499,-562,-546,5.25,5.88,5.50,-1.88,-4.13,-5.13,-14.73,-15.23,-26.24,0.52,0.75,0.73,-92.75,-80.50,-46.38,-55.13,-80.00,-194.25,-131.00,0.78,0.78,0.72,0.92,0.63,0.79,0.88,0.79,0.75,0.58,0.50,0.88,0.88,0.88,0.79,0.75,0.92,0.96,0.88
F,21.00,25.00,6.00,11.00,6.00,0.30,0.53,0.49,0.51,2.70,2.20,3.65,2.85,-483,-498,-483,6.13,7.50,9.10,-2.63,-1.63,-3.38,-17.58,-17.41,-32.56,0.71,0.86,0.81,-107.63,-107.63,-52.50,-26.25,-39.38,-153.00,-199.50,0.89,1.00,0.89,0.92,1.00,0.79,0.83,0.88,0.50,0.88,0.83,0.88,1.00,0.92,0.67,0.71,0.92,1.00,1.00
M,20.00,27.00,11.00,14.00,14.00,0.14,0.80,0.51,0.71,2.45,1.20,2.30,1.98,-483,-607,-561,8.75,6.38,5.10,-1.75,-3.75,-5.88,-16.60,-16.10,-34.86,0.86,0.76,0.86,-60.38,-146.13,-45.50,-34.13,-34.13,-136.50,-154.00,0.89,0.94,0.89,1.00,0.96,1.00,0.67,0.88,0.46,1.00,0.79,0.92,0.04,0.96,0.92,0.50,1.00,0.67,1.00
M,19.00,24.00,4.00,8.00,11.00,0.11,-0.01,0.60,0.61,2.60,2.40,2.65,2.55,-569,-665,-549,6.00,3.14,5.30,-2.13,-4.63,-2.63,-18.53,-19.64,-24.88,0.70,0.76,0.86,-104.13,-95.38,-97.13,-48.13,-77.00,-210.00,-185.50,0.83,0.44,0.50,0.79,0.83,0.88,0.83,0.63,0.79,0.83,0.67,0.96,1.00,0.71,0.63,0.75,0.83,0.67,0.96
M,23.00,30.00,12.00,13.00,13.00,0.32,0.68,0.79,0.78,3.35,2.10,2.65,2.70,-484,-531,-451,5.63,6.25,8.60,-3.88,-4.38,-4.88,-15.56,-15.54,-20.00,0.88,0.83,0.91,-93.63,-71.75,-41.13,-19.25,-62.13,-217.00,-168.00,0.83,0.56,1.00,0.63,0.83,0.79,0.79,0.88,0.67,0.88,1.00,0.92,1.00,0.88,0.79,0.75,0.79,1.00,1.00
F,24.00,22.00,1.00,8.00,8.00,0.33,0.50,0.54,0.62,2.40,-0.20,-0.50,0.57,-437,-546,-483,5.63,6.25,8.50,-2.00,-4.13,-3.38,-17.28,-9.65,-39.33,0.71,0.79,0.88,-75.54,-51.63,-36.75,-27.13,-70.88,-166.25,-87.50,0.67,0.94,0.89,0.96,1.00,1.00,0.92,0.92,0.67,0.88,0.42,0.83,1.00,0.83,0.83,0.96,0.74,0.96,0.96
F,25.00,30.00,3.00,5.00,8.00,0.26,0.01,0.33,0.13,3.40,-1.40,1.25,1.08,-685,-687,-529,7.00,4.13,9.50,-1.88,-2.88,-2.63,-16.56,-8.71,-23.74,0.67,0.78,0.83,-117.25,-106.75,-63.00,-40.25,-90.13,-106.75,-180.25,1.00,0.72,0.83,1.00,0.96,1.00,0.96,1.00,0.67,0.88,0.71,0.96,0.79,0.92,0.71,0.54,0.79,0.88,0.79
F,27.00,22.00,6.00,7.00,6.00,-0.03,0.39,0.22,0.49,0.50,1.00,1.55,1.02,-660,-939,-629,3.71,4.50,4.40,-0.88,-5.38,-2.25,-25.37,-17.62,-27.18,0.77,0.62,0.93,-139.13,-94.00,-112.88,-68.25,-105.88,-199.50,-217.00,0.89,0.72,0.56,0.92,0.92,0.92,0.83,0.71,0.63,0.83,0.83,0.92,0.96,0.71,0.50,0.50,0.75,0.71,0.83
F,20.00,38.00,11.00,7.00,10.00,0.44,0.49,0.42,0.67,-0.65,1.25,0.15,0.25,-468,-577,-545,7.50,5.38,7.00,-3.50,-4.13,-2.38,-9.97,-10.68,-26.37,0.84,0.70,0.82,-113.75,-107.00,-117.25,-27.13,-71.75,-182.00,-183.00,0.67,0.72,0.89,0.83,1.00,0.92,0.92,0.83,0.71,0.71,0.83,0.71,1.00,0.75,0.71,0.67,0.92,0.92,0.88
M,27.00,28.00,8.00,15.00,14.00,0.17,0.27,0.58,0.58,1.00,-0.25,1.70,0.82,-468,-545,-546,6.13,5.71,7.40,-2.38,-5.75,-8.63,-19.35,-15.63,-27.45,0.54,0.70,0.84,-67.38,-60.38,-60.38,-31.50,-86.63,-215.25,-103.25,1.00,0.83,0.89,0.92,0.88,0.79,1.00,0.75,0.50,0.67,0.88,0.54,1.00,0.96,0.83,0.88,0.75,1.00,0.92
F,19.00,26.00,7.00,8.00,10.00,0.41,0.43,0.52,0.44,3.80,1.75,4.40,3.32,-764,-686,-717,9.75,5.88,8.30,-1.75,-3.63,-3.75,-10.49,-13.40,-24.89,0.82,0.83,0.94,-79.63,-71.75,-69.13,-26.25,-64.75,-173.25,-168.00,1.00,0.89,0.83,1.00,0.96,1.00,0.96,0.75,0.79,0.88,0.79,0.96,0.92,0.92,0.75,0.63,0.92,0.88,0.88
M,19.00,29.67,9.00,11.00,8.00,0.30,0.61,0.43,0.33,1.45,1.40,1.90,1.58,-655,-749,-670,3.13,3.63,2.90,-2.50,-11.63,-11.13,-31.67,-31.25,-36.75,0.55,0.52,0.78,-105.88,-127.75,-86.63,-32.38,-105.00,-175.00,-148.75,0.89,0.39,0.50,0.88,0.71,0.88,0.92,0.88,0.58,0.46,0.79,0.75,0.92,0.79,0.79,0.88,0.83,0.75,0.92
M,20.00,33.00,12.00,9.00,15.00,0.47,0.89,0.82,0.81,5.15,1.75,5.15,4.02,-639,-641,-609,6.75,7.50,7.80,-1.00,-3.63,-1.75,-14.94,-14.61,-16.10,0.86,0.83,0.84,-140.00,-84.88,-90.13,-29.75,-38.50,-173.25,-159.25,0.83,0.89,0.78,0.92,0.92,0.92,0.92,0.79,0.83,0.83,0.92,1.00,0.75,0.92,0.88,0.63,0.83,0.96,1.00
M,27.00,23.00,7.00,7.00,6.00,-0.05,0.12,0.53,0.33,3.30,2.70,1.45,2.48,-545,-654,-562,6.25,3.00,5.30,-1.86,-5.13,-3.63,-20.44,-15.86,-29.91,0.79,0.74,0.79,-119.10,-134.75,-84.88,-32.38,-82.25,-147.00,-96.25,0.94,0.72,0.78,0.83,0.92,0.96,0.96,0.92,0.63,0.71,0.50,0.92,0.92,0.88,0.71,0.08,0.50,0.63,0.83
M,19.00,30.00,9.00,13.00,11.00,0.27,0.82,0.71,0.79,3.80,2.00,5.15,3.65,-374,-468,-429,9.38,7.25,7.00,-1.88,-1.63,-4.00,-16.05,-10.67,-33.21,0.74,0.64,0.69,-84.00,-66.50,-80.50,-22.75,-24.50,-136.50,-106.75,1.00,1.00,0.89,1.00,1.00,0.88,1.00,1.00,0.46,0.71,0.42,0.83,1.00,1.00,0.92,0.79,0.92,1.00,1.00
F,19.00,35.00,10.00,15.00,13.00,0.24,0.73,0.62,0.67,3.75,2.30,2.65,2.90,-520,-589,-459,5.13,6.00,7.90,-1.63,-6.25,-1.38,-13.50,-13.55,-33.47,0.82,0.79,0.82,-96.25,-68.25,-43.75,-49.88,-63.00,-155.75,-147.00,0.94,0.78,0.89,0.96,0.92,0.92,0.96,0.88,0.75,0.75,0.79,0.83,1.00,0.88,0.58,0.17,0.79,0.83,0.92
M,25.00,30.00,8.00,8.00,7.00,-0.03,0.64,0.50,0.37,1.40,1.40,1.00,1.27,-546,-592,-671,5.57,10.25,6.10,-3.63,-3.50,-2.00,-17.57,-14.74,-29.23,0.68,0.53,0.80,-76.13,-73.50,-67.38,-17.50,-21.88,-220.50,-141.75,0.61,0.61,0.61,0.67,1.00,0.88,0.83,0.79,0.54,0.63,0.71,0.83,1.00,0.96,0.50,0.42,0.67,1.00,0.88
F,21.00,37.00,11.00,12.00,12.00,0.25,0.69,0.66,0.92,4.65,2.00,2.80,3.15,-484,-577,-514,7.63,6.50,7.00,-1.75,-5.25,-2.43,-15.71,-12.00,-29.00,0.79,0.89,0.88,-99.75,-91.88,-22.75,-29.75,-61.25,-82.25,-178.50,1.00,0.89,0.89,1.00,0.92,1.00,0.88,0.92,0.83,0.79,0.54,0.83,1.00,0.71,0.83,0.75,0.92,1.00,0.92
F,20.00,25.00,15.00,12.00,11.00,0.47,0.63,0.41,0.51,4.05,2.45,3.75,3.42,-562,-592,-561,6.00,5.13,9.80,-1.75,-4.38,-3.25,-15.64,-8.04,-22.78,0.62,0.50,0.84,-91.00,-56.00,-38.50,-42.00,-63.00,-171.50,-131.25,0.78,0.78,0.89,0.92,1.00,0.88,0.96,0.96,0.58,0.75,0.67,0.92,1.00,0.71,0.83,0.83,1.00,1.00,0.88
M,19.00,34.00,10.00,13.00,12.00,0.23,0.72,0.56,0.98,0.30,-0.75,0.65,0.07,-525,-699,-520,2.13,3.86,2.90,-1.88,-3.63,-1.25,-13.15,-15.80,-41.97,0.73,0.78,0.81,-75.25,-53.38,-35.88,-25.38,-37.63,-150.50,-110.25,0.33,0.72,0.78,1.00,0.92,0.92,1.00,0.83,0.50,0.88,0.79,0.92,1.00,0.92,0.92,0.75,1.00,0.88,0.96
M,22.00,28.00,11.00,4.00,14.00,0.35,0.66,0.97,0.88,4.05,2.90,4.20,3.72,-421,-514,-483,6.50,8.50,9.10,-2.63,-1.75,-3.13,-19.72,-10.62,-27.24,0.87,0.61,0.93,-67.38,-61.25,-83.13,-22.75,-24.50,-54.25,-80.50,0.83,0.83,0.83,0.88,1.00,0.75,0.71,1.00,0.67,0.88,0.88,0.92,0.96,0.92,0.96,0.79,1.00,0.79,0.83
M,40.00,9.00,5.00,3.00,7.00,0.00,-0.08,0.36,0.64,0.55,0.00,1.30,0.62,-638,-959,-637,3.88,1.71,1.88,-3.25,-5.25,-8.13,-26.25,-20.57,-28.99,0.86,0.71,0.79,-147.88,-175.88,-99.31,-42.00,-140.00,-169.71,-160.18,0.50,0.33,0.39,0.79,0.92,0.96,0.88,0.50,0.29,0.88,0.79,1.00,0.88,0.67,0.46,0.50,0.46,0.50,0.33
M,20.00,33.00,12.00,15.00,15.00,0.57,0.73,0.62,0.79,2.05,2.05,3.05,2.38,-479,-510,-459,9.75,7.63,8.38,-0.75,-4.38,-4.88,-17.00,-17.50,-21.25,0.74,0.80,0.74,-94.50,-64.75,-88.38,-21.88,-44.63,-185.50,-181.00,0.89,0.89,0.78,0.88,0.92,0.92,0.92,0.83,0.88,0.83,0.83,0.92,1.00,0.88,0.88,0.58,0.92,0.92,0.04
M,20.00,30.00,12.00,14.00,12.00,0.12,0.77,0.60,0.77,2.90,0.65,1.00,1.52,-468,-592,-529,8.38,7.88,6.75,-1.38,-2.63,-2.25,-16.25,-18.75,-31.00,0.68,0.50,0.79,-74.38,-58.63,-52.50,-13.13,-29.75,-168.00,-133.00,1.00,0.67,0.94,0.79,0.92,0.92,0.83,1.00,0.71,0.83,0.79,0.79,1.00,0.83,0.96,0.71,0.88,0.92,1.00
M,22.00,24.00,7.00,12.00,9.00,0.30,0.52,0.43,0.58,0.70,0.60,0.95,0.75,-436,-468,-487,6.13,4.75,4.25,-2.50,-4.75,-5.14,-24.00,-16.50,-36.86,0.81,0.50,0.77,-82.25,-69.13,-64.75,-29.75,-45.50,-143.50,-115.50,0.61,0.83,0.44,0.92,1.00,0.71,0.83,0.83,0.58,0.79,0.71,0.71,1.00,0.96,0.83,0.58,0.83,1.00,0.79
M,19.00,21.00,3.00,4.00,7.00,-0.03,0.26,0.23,0.43,2.20,1.30,-1.15,0.78,-624,-451,-624,4.25,4.13,5.13,-3.38,-6.25,-6.38,-27.75,-16.25,-39.25,0.64,0.72,0.70,-104.13,-85.75,-79.63,-113.00,-91.00,-287.00,-255.50,0.78,0.61,0.72,0.67,0.88,0.83,0.67,0.75,0.54,0.75,0.83,0.79,0.79,0.71,0.63,0.54,0.88,0.96,0.67
M,34.00,32.00,15.00,14.00,15.00,0.59,0.91,0.84,0.93,3.75,3.70,5.25,4.23,-525,-605,-559,9.25,9.38,5.63,-1.88,-3.38,-1.63,-11.75,-9.25,-27.75,0.83,0.87,0.83,-70.00,-66.50,-50.75,-13.13,-37.63,-126.00,-73.50,0.89,0.94,0.78,0.96,1.00,1.00,1.00,0.96,0.75,0.79,0.71,0.88,0.92,0.88,0.88,0.79,0.88,0.96,1.00
M,22.00,13.00,8.00,3.00,7.00,0.33,0.50,0.36,0.59,2.75,0.20,4.80,2.58,-732,-569,-591,4.50,5.13,4.13,-1.88,-2.00,-5.75,-19.25,-8.25,-27.43,0.65,0.68,0.70,-113.75,-63.88,-45.50,-21.00,-70.88,-85.75,-127.75,0.78,0.78,0.78,0.67,0.79,0.83,0.79,0.96,0.63,0.54,0.63,0.75,1.00,0.96,0.71,0.63,0.92,1.00,0.92
M,22.00,37.00,16.00,16.00,16.00,0.44,0.91,0.80,0.86,3.95,2.60,3.70,3.42,-389,-559,-439,6.00,6.38,8.38,-3.50,-1.75,-1.63,-17.50,-9.75,-16.57,0.88,0.93,0.95,-68.25,-49.00,-46.38,-27.13,-32.38,-134.75,-92.75,0.94,0.78,0.94,0.96,1.00,1.00,0.96,0.96,0.83,0.96,0.92,0.96,1.00,1.00,0.96,0.67,0.96,1.00,1.00
M,24.00,31.00,6.00,6.00,11.00,0.46,0.88,0.87,0.57,2.55,3.50,4.20,3.42,-444,-436,-421,8.88,7.13,7.38,-3.63,-3.57,-3.13,-19.00,-17.25,-30.50,0.74,0.85,0.78,-84.00,-59.50,-66.50,-36.75,-85.75,-117.25,-66.50,0.78,0.83,0.83,0.79,0.83,0.92,0.92,0.83,0.71,0.79,0.88,0.75,1.00,0.96,0.83,0.67,0.96,1.00,1.00
M,20.00,32.00,11.00,12.00,14.00,-0.03,0.71,0.67,0.48,0.95,0.90,1.75,1.20,-436,-483,-452,6.50,4.25,5.25,-1.38,-2.88,-3.13,-14.25,-12.50,-21.14,0.45,0.66,0.69,-87.50,-87.50,-45.50,-30.63,-44.63,-166.25,-155.75,0.78,0.72,0.83,0.96,0.88,0.92,1.00,0.75,0.63,0.42,0.38,0.83,0.96,0.92,0.83,0.50,0.96,0.92,1.00
M,24.00,33.00,12.00,16.00,11.00,0.31,0.94,0.70,0.89,3.90,1.65,3.60,3.05,-406,-530,-468,7.25,5.00,7.00,-1.25,-3.13,-1.88,-15.75,-8.75,-18.57,0.88,0.85,0.93,-59.50,-63.88,-49.88,-10.50,-34.13,-96.25,-106.75,0.94,1.00,1.00,0.96,1.00,1.00,0.92,0.96,0.75,0.92,0.92,0.96,1.00,1.00,1.00,0.75,1.00,1.00,1.00
M,28.00,27.00,10.00,6.00,13.00,0.21,0.52,0.60,0.74,2.10,-0.10,0.90,0.97,-585,-689,-601,2.86,5.25,7.00,-2.88,-5.50,-2.38,-20.50,-15.75,-27.00,0.71,0.81,0.86,-124.25,-75.25,-76.13,-13.13,-76.13,-182.00,-122.50,0.67,0.17,0.67,0.92,0.96,1.00,0.88,0.88,0.71,0.79,0.75,0.96,1.00,0.88,0.83,0.83,0.83,0.96,0.96
M,20.00,22.00,11.00,10.00,8.00,0.42,0.65,0.59,0.38,1.50,-0.80,2.00,0.90,-549,-600,-529,6.63,6.00,6.50,-2.75,-4.13,-4.50,-21.00,-14.75,-37.25,0.77,0.70,0.79,-112.88,-97.13,-65.63,-12.25,-49.00,-161.00,-70.00,0.83,0.78,0.83,0.92,0.96,0.92,0.92,0.79,0.58,0.71,0.67,0.92,0.96,0.83,0.75,0.79,0.67,0.88,1.00
M,27.00,28.00,11.00,12.00,15.00,0.09,0.56,0.62,0.90,2.60,1.30,3.20,2.37,-514,-873,-654,5.75,4.43,2.25,-0.75,-0.88,-4.00,-15.75,-5.00,-27.00,0.89,0.90,0.91,-84.88,-77.00,-42.00,-23.63,-37.63,-169.75,-143.50,0.72,0.72,0.61,0.96,1.00,0.88,0.96,0.96,0.63,0.83,0.88,0.88,0.92,0.88,0.92,0.75,1.00,0.92,1.00
M,19.00,33.00,12.00,11.00,13.00,0.59,0.80,0.62,0.77,1.40,-0.10,2.15,1.15,-500,-577,-468,8.75,11.75,12.63,-1.13,-6.38,-2.75,-17.25,-7.75,-37.00,0.83,0.78,0.90,-56.88,-53.38,-52.50,-23.63,-36.75,-131.25,-140.00,0.83,1.00,0.94,0.88,0.96,0.92,1.00,0.83,0.75,0.88,0.83,0.71,1.00,1.00,0.83,0.83,1.00,0.88,1.00
M,40.00,24.00,3.00,8.00,6.00,0.27,0.26,0.42,0.54,1.55,-0.05,0.65,0.72,-609,-592,-577,5.00,4.29,4.50,-1.13,-1.57,-1.63,-14.50,-7.00,-20.57,0.75,0.88,0.93,-110.25,-101.50,-62.13,-48.13,-31.50,-194.25,-110.25,0.67,0.44,0.44,0.96,0.96,1.00,0.83,0.88,0.75,0.83,0.83,1.00,0.75,0.92,0.92,0.08,0.92,0.63,1.00
M,20.00,20.00,9.00,8.00,7.00,0.09,0.08,0.44,0.61,-0.20,0.40,0.80,0.33,-421,-561,-468,2.88,4.38,3.63,-2.50,-7.38,-4.88,-16.75,-19.50,-28.00,0.56,0.79,0.85,-100.63,-55.13,-58.63,-79.63,-31.50,-183.75,-143.50,0.50,0.56,0.61,0.96,0.75,1.00,0.88,0.67,0.63,0.67,0.75,0.71,0.92,1.00,0.92,0.79,0.92,1.00,1.00
M,25.00,29.00,9.00,13.00,14.00,0.30,0.84,0.56,0.41,3.95,0.40,2.00,2.12,-590,-655,-650,4.25,2.25,2.14,-2.38,-6.38,-1.88,-14.75,-29.50,-28.57,0.89,0.81,0.86,-89.25,-115.50,-80.50,-15.75,-55.13,-173.25,-233.00,0.56,0.78,0.39,0.88,0.67,0.96,0.92,0.71,0.71,0.83,0.71,0.88,0.96,1.00,0.88,0.67,0.71,0.71,0.33
M,21.00,23.00,6.00,12.00,11.00,0.31,0.12,0.28,0.53,0.25,0.55,0.70,0.50,-520,-595,-529,6.25,5.13,4.13,-3.13,-4.38,-3.00,-12.00,-12.00,-30.00,0.79,0.64,0.89,-72.63,-86.63,-69.13,-23.63,-66.50,-126.00,-129.50,0.89,0.83,0.72,0.75,0.83,0.92,1.00,0.83,0.83,0.79,0.42,0.96,1.00,0.75,0.75,0.71,0.88,1.00,0.88
M,20.00,29.00,11.00,12.00,12.00,0.39,0.85,0.52,0.68,3.35,0.70,5.15,3.07,-410,-564,-495,8.75,10.00,8.00,-2.38,-5.25,-3.13,-15.25,-14.25,-23.25,0.84,0.89,0.89,-80.50,-42.00,-64.75,-13.13,-83.13,-117.25,-173.25,0.94,0.78,0.89,0.88,0.92,0.96,0.71,0.88,0.83,0.79,0.75,0.96,1.00,1.00,0.92,0.71,0.92,0.96,1.00
M,21.00,29.00,10.00,12.00,14.00,0.08,0.69,0.53,0.90,2.90,1.05,3.50,2.48,-498,-671,-529,7.00,7.13,4.88,-3.50,-4.25,-2.00,-18.25,-16.50,-43.14,0.79,0.85,0.79,-77.88,-109.38,-51.63,-53.38,-35.00,-197.75,-134.75,0.83,0.89,0.72,0.88,0.96,0.96,0.75,0.75,0.79,0.83,0.88,0.79,1.00,1.00,0.83,0.63,0.92,0.92,0.96
M,19.00,33.00,12.00,13.00,11.00,0.42,0.69,0.80,0.60,1.45,-1.45,1.70,0.57,-468,-561,-530,9.75,5.75,6.88,-1.75,-1.25,-2.75,-27.25,-10.25,-45.25,0.77,0.73,0.78,-65.63,-77.00,-63.00,-19.25,-32.38,-168.00,-159.25,0.67,0.94,0.83,0.88,1.00,1.00,0.63,0.79,0.50,0.92,0.67,0.96,1.00,0.96,0.79,0.67,0.92,0.83,0.75
M,22.00,31.00,9.00,8.00,13.00,0.31,0.31,0.41,0.32,1.05,0.30,1.10,0.82,-574,-579,-520,5.38,4.75,4.25,-2.50,-3.25,-1.38,-16.00,-17.00,-21.50,0.68,0.63,0.76,-52.50,-51.63,-68.25,-70.00,-53.38,-131.25,-112.00,0.67,0.78,0.83,0.92,0.96,1.00,0.96,0.67,0.58,0.88,0.83,0.67,0.92,1.00,0.88,0.75,0.88,1.00,0.92
M,27.00,35.00,12.00,14.00,14.00,0.54,0.95,0.53,0.76,4.90,1.95,4.35,3.73,-510,-570,-540,4.88,6.57,7.14,-2.13,-1.00,-2.75,-18.00,-9.00,-32.29,0.83,0.86,0.86,-74.38,-74.38,-48.13,-23.63,-48.13,-101.50,-129.00,0.72,0.94,0.94,0.88,1.00,0.92,0.88,0.96,0.67,0.96,0.71,0.83,1.00,1.00,0.96,0.58,1.00,0.88,1.00
M,19.00,37.00,15.00,13.00,17.00,0.38,0.75,0.67,0.94,3.45,2.30,5.10,3.62,-389,-592,-436,9.00,9.38,11.00,-2.50,-3.50,-2.38,-11.25,-11.25,-25.25,0.78,0.83,0.88,-71.75,-51.63,-26.25,-28.00,-34.13,-103.00,-131.25,0.94,0.78,0.94,0.96,1.00,0.92,0.96,0.92,0.63,0.83,0.92,0.92,1.00,1.00,0.92,0.63,1.00,1.00,1.00
M,19.00,34.00,13.00,16.00,13.00,0.63,0.57,0.66,0.73,0.25,0.90,0.75,0.63,-561,-577,-561,6.75,7.88,8.75,-3.14,-12.50,-5.35,-29.71,-44.25,-32.69,0.45,0.57,0.68,-133.00,-89.25,-90.13,-38.50,-31.50,-229.25,-137.00,0.89,0.83,0.94,0.79,0.54,0.46,0.88,0.58,0.42,0.54,0.58,0.63,0.79,0.96,0.79,0.50,0.58,0.88,1.00
M,25.00,30.00,13.00,14.00,16.00,0.60,0.75,0.77,0.74,3.80,3.00,2.15,2.98,-456,-499,-437,3.13,6.13,4.63,-2.50,-1.13,-2.75,-16.25,-16.25,-29.00,0.84,0.82,0.90,-110.25,-57.75,-32.38,-19.25,-42.88,-210.00,-165.00,0.56,0.78,0.83,1.00,0.96,0.92,0.83,0.96,0.63,0.88,0.83,0.92,1.00,1.00,0.67,0.58,0.92,1.00,1.00
M,18.00,25.00,14.00,16.00,13.00,0.41,0.94,0.52,0.74,3.60,1.80,3.85,3.08,-449,-529,-459,5.75,7.50,6.75,-1.75,-2.75,-1.25,-15.25,-10.00,-24.00,0.73,0.73,0.86,-84.00,-49.00,-39.38,-17.50,-49.88,-134.75,-134.75,0.89,0.56,0.83,0.96,1.00,1.00,0.96,0.92,0.88,0.54,0.79,0.88,0.96,0.92,0.88,0.63,0.88,1.00,1.00
