SEX,AGE,RAMP,ANALOGIES,NUMBER_SERIES,PATTER_COMPL,CSPAN,SSPAN,MENTAL_COUNTERS,CHANGE_DETECTION,TASK_ENG1,TASK_ENG2,TASK_ENG3,STAI1,STAI2,STAI3,clock1,clock2,clock3,FD_LENGTH,FD_ORIENT,FD_BRIGHT,FM_SIZE,FM_ORIENT,FM_BRIGHT,DD_FILLED_VISUAL,DD_EMPTY_VISUAL,IT_CIRCLES,IT_LINES,IT_SQUAR,DD_EMPTY_AUDITORY,DD_FILLED_AUDITORY,PITCH1,PITCH2,LOUDNESS
M,20,13,13,5,12,0.76,0.7,0.12,4.17,0.58,0.64,0.6,0.33,0.35,0.32,0.67,0.36,0.19,-7.75,-2.5,-2.5,-23.75,-16.5,-39.75,-200.4,-150.3,-112.725,-54.275,-75.15,-290,-105,-10,-20,-0.15
K,27,13,15,10,10,0.76,0.64,0.4,2.75,0.64,0.64,0.78,0.33,0.38,0.3,0.57,0.44,0.21,-10.25,-5.79166667,-5,-27.5,-21,-34.5,-384.1,-233.8,-105.766667,-129.425,-83.5,-320,-315,-6.08333333,-9.5,-0.0875
K,23,11,13,11,10,0.88,0.48,0.38,7,0.92,0.94,0.92,0.23,0.2,0.2,1,0.87,0.9,-5,-2.25,-2.5,-20,-16.5,-48,-83.5,-175.35,-41.75,-70.975,-50.1,-110,-157.5,-5.5,-1.5,-0.05
K,21,13,15,12,7,0.76,0.5,0.11,5.67,0.62,0.48,0.74,0.48,0.42,0.33,0.92,0.82,0.93,-9,-5.25,-6,-11,-12.75,-38.25,-192.05,-200.4,-150.3,-72.3666667,-83.5,-252.5,-142.5,-8,-11.25,-0.0625
M,25,7,10,3,7,0.36,0.44,0.09,6.17,0.98,1,1,0.17,0.17,0.17,1,0.92,1,-5.75,-0.25,-4.25,-15.5,-4.5,-20.25,-192.05,-83.5,-83.5,-91.85,-54.275,-50,-37.5,-2,-2,-25
K,20,6,10,5,8,0.46,0.62,0.21,4.25,0.7,0.56,0.9,0.27,0.22,0.17,0.95,0.93,0.85,-10,-3,-1.75,-9.5,-15.75,-32.25,-275.55,-158.65,-84.8916667,-75.15,-62.625,-230,-52.5,-6.75,-9.5,-75
K,20,12,13,7,10,0.48,0.62,0.37,5.33,0.64,0.58,0.94,0.37,0.38,0.3,0.77,0.55,0.87,-8,-8,-5.25,-23,-31.5,-39,-350.7,-258.85,-133.6,-121.075,-91.85,-230,-180,-28,-21.5,-0.2125
K,19,16,14,12,15,0.63,0.64,0.38,4.42,0.92,0.88,0.92,0.38,0.42,0.38,0.9,0.9,0.83,-8.75,-3.25,-2,-12.5,-13.5,-48.75,-116.9,-175.35,-70.975,-41.75,-58.45,-207.5,-127.5,-2.25,-4,-25
K,19,14,15,7,12,0.78,0.74,0.53,5.75,0.94,0.96,0.98,0.6,0.57,0.53,0.87,0.87,0.92,-8,-7.25,-2,-14.75,-10.5,-36,-167,-233.8,-58.45,-58.45,-33.4,-185,-82.5,-8,-7.5,-0.1125
M,25,11,12,11,10,0.64,0.68,0.19,6.08,0.96,0.74,1,0.23,0.22,0.17,0.78,0.93,0.5,-7.5,-4.75,-4,-20,-18.75,-27.75,-283.9,-325.65,-121.075,-75.15,-33.4,-207.5,-135,-19,-20.25,-125
